case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
107,stomach_rat_FDISCO_20250413_185207,1431.5,1.07398,69.5824,58.8819,52.2933,13.2814,65.1196,69.5988,0,1,4,0.865468
108,stomach_rat_FDISCO_20250413_190422,1343.3,1.06305,77.1756,65.2045,58.1647,11.4004,63.8834,77.186,0,1,4,0.803062
109,tooth_rat_FDISCO_20250413_171609,140.2,1.9107,81.0681,72.9132,67.9415,23.7979,39.8722,81.0987,2,1,2,0.918142
110,tooth_rat_FDISCO_20250413_171843,135,2.09704,83.3304,74.8494,69.4483,21.4747,41.7042,83.3483,2,1,2,0.974538
111,muscle_rat_FDISCO_20250415_160136,90.1,1.03774,98.7309,87.5436,71.672,19.5128,67.1459,98.7603,0,1,2,0.714536
112,muscle_rat_FDISCO_20250415_161454,264.8,1.054,90.7691,76.4232,60.4614,16.3468,87.7848,90.7844,0,1,2,0.849048
113,muscle_rat_FDISCO_20250415_161832,1168.1,1.02371,79.1404,70.2704,65.2578,19.2112,46.5716,79.1681,0,1,3,0.669343
114,muscle_rat_FDISCO_20250415_160720,64.4,1.0823,31.6644,28.2558,23.7609,16.9225,71.6937,31.6781,0,1,1,0.563044
115,heart_mouse_FDISCO_20250430_165549,165.3,1.0369,54.4622,43.5916,35.0515,13.6432,94.5208,54.4824,0,1,2,0.77394
116,heart_mouse_FDISCO_20250430_165804,143.5,1.08084,48.1683,38.0312,28.9722,14.3197,100.023,48.1867,0,1,2,0.768129
117,heart_mouse_FDISCO_20250430_165941,127.5,1.08784,52.234,41.7254,33.1428,13.6707,93.7671,52.2507,0,1,2,0.796709
118,heart_mouse_FDISCO_20250430_170137,127.8,1.0939,47.6186,38.1153,31.0379,12.7354,88.3849,47.6316,0,1,1,0.757957
119,heart_mouse_FDISCO_20250430_170406,135.1,1.08068,47.3701,38.2606,31.0398,13.4714,88.9949,47.3846,0,1,2,0.82313
120,heart_mouse_FDISCO_20250430_205226,113.3,1.12004,38.5366,29.1004,23.1804,11.7479,104.625,38.5503,0,1,2,0.758221
