case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
237,muscle_rat_FDISCO_20250621_190759,56.7,1.0776,86.6786,75.1311,58.334,16.8876,75.3285,86.6873,0,5,1,0.632439
238,muscle_rat_FDISCO_20250621_191011,70.4,1.1321,95.5691,83.5378,64.7794,17.8226,78.1405,95.5793,0,5,1,0.752594
239,muscle_rat_FDISCO_20250621_191220,85.5,1.00468,39.6591,37.797,34.3094,13.5912,22.9892,39.7533,0,5,1,0.762454
240,muscle_rat_FDISCO_20250621_192026,271.7,1.0519,81.8816,68.3661,51.9212,16.099,97.887,81.8922,0,5,2,0.673436
241,muscle_rat_FDISCO_20250621_192201,303.5,1.07117,84.9588,72.333,55.8136,16.9805,92.138,84.9728,0,5,4,0.684411
242,muscle_rat_FDISCO_20250621_192347,928.5,1.19677,69.5977,61.0374,53.2231,19.0089,62.6224,69.6333,0,5,4,0.658451
243,muscle_rat_FDISCO_20250621_192604,1001.4,1.06291,65.5844,56.772,48.8819,14.444,67.8614,65.6012,0,5,4,0.580188
244,muscle_rat_FDISCO_20250621_192746,71.8,1.03343,87.9421,75.8444,57.6236,17.2373,84.9084,87.9506,0,5,2,0.887159
245,liver_mouse_FDISCO_20250621_183215,397.6,1.03622,47.6949,35.7438,30.521,10.1639,90.5504,47.7045,0,5,2,0.828644
246,1_FDISCO_20250704_162043,59.4,1.01852,81.1938,71.6745,59.6829,16.1574,63.176,81.2135,0,5,1,0.75081
247,muscle_mouse_FDISCO_20250704_160554,63,1.19206,81.3943,72.1416,61.4476,15.6394,61.0805,81.4159,0,5,1,0.788246
248,muscle_mouse_FDISCO_20250704_161049,27.9,1.24373,78.9858,68.5895,55.8374,15.6986,68.2177,78.9942,0,5,1,0.794958
249,muscle_mouse_FDISCO_20250704_162213,145.1,1.02274,81.6043,73.5256,63.9113,15.9061,54.0156,81.6334,0,5,2,0.809509
250,sc_mouse_FDISCO_20250704_162539,65.3,1.1853,76.1666,65.2515,53.5344,15.089,73.2441,76.1811,0,5,1,0.922651
251,muscle_mouse_FDISCO_20250704_163207,21.3,1.82629,89.2503,76.5435,59.7708,16.0842,80.7348,89.2553,0,5,1,0.856743
252,sc_mouse_FDISCO_20250704_155927,49.8,1.09036,26.837,25.4586,23.8657,9.54167,20.8206,26.8682,0,5,1,0.858317
253,muscle_mouse_FDISCO_20250704_161530,71.1,1.01406,29.7359,28.7893,27.2418,11.6911,17.4495,29.7969,0,5,1,0.809509
254,sc_mouse_FDISCO_20250704_162845,57.3,1.00873,55.0241,52.2608,49.1905,17.9765,23.8474,55.0816,0,5,1,0.85379
255,brain_FDISCO_20251016_172811,410,1.22927,56.998,49.0323,48.982,56.9649,35.191,57.1577,0,5,3,0.620875
256,brain_FDISCO_20251016_173240,490.6,1.04199,59.8519,51.663,52.3207,78.8693,35.2616,60.0252,0,5,3,0.742587
257,brain_FDISCO_20251016_173530,447.3,1.04516,67.9524,58.469,55.8924,32.8735,46.051,68.1054,0,5,3,0.747161
258,brain_solid_FDISCO_20251016_173843,465.2,1.02429,71.0008,61.5463,61.4974,69.021,36.617,71.0846,0,5,3,0.665949
259,brain_solid_FDISCO_20251016_174147,511.4,1.01936,63.8553,53.8005,54.0349,65.5543,43.5549,64.0262,0,5,3,0.715108
260,brain_solid_FDISCO_20251016_174429,481.5,1.02783,67.4691,56.6674,52.7268,23.1873,56.4014,67.5458,0,5,3,0.695484
261,brain_solid_FDISCO_20251016_174651,477.9,1.05901,68.0282,58.4846,58.5959,72.5684,38.047,68.1149,1,5,3,0.686325
262,brain_solid_FDISCO_20251016_174950,489.6,1.05331,69.3583,58.9449,56.3431,33.8235,50.3222,69.45,0,5,3,0.694413
263,brain_solid_FDISCO_20251016_175249,465.5,1.04189,67.0529,56.3932,55.8262,52.2087,44.9723,67.1109,0,5,3,0.726423
264,heart_mouse_s_FDISCO_20251020_114906,75.7,1.12285,39.0628,31.2647,24.7582,13.1244,91.0191,39.0742,0,4,3,0.779999
265,intestine_mouse_s_FDISCO_20251020_112341,82,1.09024,73.4144,65.9768,51.079,18.814,69.8812,73.4392,0,4,2,0.653138
266,intestine_mouse_s_FDISCO_20251020_112508,200.8,1.04532,82.2714,74.1466,57.3148,19.8087,75.1385,82.3127,0,4,1,0.692034
267,intestine_mouse_s_FDISCO_20251020_112639,481.2,1.10827,71.3866,62.4354,47.5784,18.4206,83.1267,71.4097,0,4,1,0.6409
268,kidney_mouse_s_FDISCO_20251020_114256,137.5,1.00291,51.7356,42.6714,34.8386,13.8591,82.565,51.7485,0,4,2,0.70119
269,kidney_mouse_s_FDISCO_20251020_114406,123.7,1.1059,54.2382,45.5359,36.8713,14.7069,82.8868,54.2618,0,4,2,0.72129
270,liver_mouse_FDISCO_20251020_112838,177.2,1.09819,67.1029,54.4846,38.4956,16.2182,106.068,67.1101,0,4,2,0.5034
271,liver_mouse_s_FDISCO_20251020_113043,96.7,1.04137,71.3066,59.2365,42.3604,16.8381,100.428,71.3096,0,4,2,0.6828
272,liver_mouse_s_FDISCO_20251020_113242,256.3,1.04253,63.8496,50.4923,35.1054,15.7377,113.042,63.8517,0,4,2,0.588
273,liver_mouse_s_FDISCO_20251020_113745,141.6,1,56.7507,46.179,35.1713,14.8366,94.4874,56.7568,0,4,2,0.588
274,liver_mouse_s_FDISCO_20251020_113945,233.1,1.003,55.9551,46.3164,36.3664,15.0566,87.2489,55.9612,0,4,2,0.588
275,liver_mouse_s_FDISCO_20251020_114105,125.6,1.11863,64.8809,55.7578,44.4114,16.1297,77.7308,64.9014,0,4,2,0.6805
276,lung_mouse_s_FDISCO_20251020_111551,60.3828,0.715,60.3828,49.3639,36.6828,15.4151,96.3149,60.4044,0,4,2,0.7204
277,lung_mouse_s_FDISCO_20251020_111737,258.1,0.7423,58.1196,42.413,30.2549,12.2297,127.338,58.1225,0,4,2,0.7054
278,spleen_mouse_s_FDISCO_20251020_110914,63.9,1,43.0899,35.0153,27.9397,13.1234,85.5051,43.1107,0,4,1,0.658
279,spleen_mouse_s_FDISCO_20251020_112006,61.7,1.06969,36.2968,30.2624,24.7378,13.4342,78.7177,36.3153,0,4,1,0.645
280,stomach_mouse_s_FDISCO_20251020_112127,276.4,1.00941,75.9338,68.4584,56.4249,17.8732,64.2149,75.9447,0,4,1,0.7958
281,tongue_mouse_s_FDISCO_20251020_104219,83.1,1.11793,62.4013,53.1388,43.5737,14.3045,71.1617,62.4127,0,4,1,0.9086
282,tongue_mouse_s_FDISCO_20251020_104416,97.4,1.01643,58.2093,50.9428,43.3221,14.2759,58.5498,58.2331,0,4,1,0.7051
283,tongue_mouse_s_FDISCO_20251020_104541,73.9,1.07713,63.7906,55.1237,45.7006,14.8738,66.7359,63.8132,0,4,1,0.7394
284,tooth_mouse_FDISCO_20251020_104836,27.4,1.26642,51.5358,47.5663,41.514,15.5034,40.8116,51.5675,1,4,1,0.6936
285,tooth_mouse_s_FDISCO_20251020_103048,133.2,1.18694,68.1109,60.2992,50.9032,15.9571,60.725,68.1264,2,4,2,0.7277
286,tooth_mouse_s_FDISCO_20251020_103243,40.7,1.48157,70.9961,65.5117,57.1883,16.9423,46.0248,71.0362,1,4,1,0.6852
287,tooth_mouse_s_FDISCO_20251020_104713,27.5,1.60727,29.3996,27.1323,23.7507,13.7993,37.7491,29.428,1,4,1,0.6689
288,tooth_mouse_s_FDISCO_20251020_105333,87.7,1.20296,4.30769,4.25662,3.84,8.62462,25.3754,4.33908,1,4,1,0.6778
289,tooth_mouse_s_FDISCO_20251020_110158,23.1,1.54978,74.4926,64.0392,64.0392,16.3195,55.0056,82.7145,1,4,1,0.6572
290,heart_mouse_s_FDISCO_20251020_114906,75.7,1.12285,39.0628,31.2647,24.7582,13.1244,91.0191,39.0742,0,4,1,0.779999
291,intestine_mouse_s_FDISCO_20251020_112341,82,1.09024,73.4144,65.9768,51.079,18.814,69.8812,73.4392,0,4,1,0.653138
292,intestine_mouse_s_FDISCO_20251020_112508,200.8,1.04532,82.2714,74.1466,57.3148,19.8087,75.1385,82.3127,0,4,2,0.812
293,intestine_mouse_s_FDISCO_20251020_112639,481.2,1.10827,71.3866,62.4354,47.5784,18.4206,83.1267,71.4097,0,4,2,0.9798
294,kidney_mouse_s_FDISCO_20251020_114256,137.5,1.00291,51.7356,42.6714,34.8386,13.8591,82.565,51.7485,0,4,2,0.67
295,kidney_mouse_s_FDISCO_20251020_114406,123.7,1.1059,54.2382,45.5359,36.8713,14.7069,82.8868,54.2618,0,4,2,0.6729
296,liver_mouse_FDISCO_20251020_112838,177.2,1.09819,67.1029,54.4846,38.4956,16.2182,106.068,67.1101,0,4,2,0.8748
297,liver_mouse_s_FDISCO_20251020_113043,96.7,1.04137,71.3066,59.2365,42.3604,16.8381,100.428,71.3096,0,4,1,0.6144
298,liver_mouse_s_FDISCO_20251020_113242,256.3,1.04253,63.8496,50.4923,35.1054,15.7377,113.042,63.8517,0,4,2,0.79
299,liver_mouse_s_FDISCO_20251020_113745,141.6,1,56.7507,46.179,35.1713,14.8366,94.4874,56.7568,0,4,1,0.7899
300,liver_mouse_s_FDISCO_20251020_113945,233.1,1.003,55.9551,46.3164,36.3664,15.0566,87.2489,55.9612,0,4,2,0.6913
301,liver_mouse_s_FDISCO_20251020_114105,125.6,1.11863,64.8809,55.7578,44.4114,16.1297,77.7308,64.9014,0,4,3,0.5203
302,lung_mouse_s_FDISCO_20251020_111551,213.8,0.822,6.27253,6.15797,5.41481,12.6684,28.4258,6.31923,0,4,2,0.5981
303,lung_mouse_s_FDISCO_20251020_111737,258.1,1.0062,58.1196,42.413,30.2549,12.2297,127.338,58.1225,0,4,2,0.5455
304,spleen_mouse_s_FDISCO_20251020_110914,63.9,1,43.0899,35.0153,27.9397,13.1234,85.5051,43.1107,0,4,2,0.5478
305,spleen_mouse_s_FDISCO_20251020_112006,61.7,1.06969,36.2968,30.2624,24.7378,13.4342,78.7177,36.3153,0,4,2,0.7029
306,stomach_mouse_s_FDISCO_20251020_112127,276.4,1.00941,75.9338,68.4584,56.4249,17.8732,64.2149,75.9447,0,4,2,0.6557
307,tongue_mouse_s_FDISCO_20251020_104219,83.1,1.11793,62.4013,53.1388,43.5737,14.3045,71.1617,62.4127,0,4,1,0.6197
308,tongue_mouse_s_FDISCO_20251020_104416,97.4,1.01643,58.2093,50.9428,43.3221,14.2759,58.5498,58.2331,0,4,1,0.6025
309,tongue_mouse_s_FDISCO_20251020_104541,73.9,1.07713,63.7906,55.1237,45.7006,14.8738,66.7359,63.8132,0,4,1,0.6828
310,tooth_mouse_FDISCO_20251020_104836,27.4,1.26642,51.5358,47.5663,41.514,15.5034,40.8116,51.5675,1,4,1,0.6429
311,tooth_mouse_s_FDISCO_20251020_103048,133.2,1.18694,68.1109,60.2992,50.9032,15.9571,60.725,68.1264,2,4,2,0.6817
312,tooth_mouse_s_FDISCO_20251020_103243,40.7,1.48157,70.9961,65.5117,57.1883,16.9423,46.0248,71.0362,1,4,1,0.6312
313,tooth_mouse_s_FDISCO_20251020_104713,27.5,1.60727,29.3996,27.1323,23.7507,13.7993,37.7491,29.428,1,4,1,0.6918
314,tooth_mouse_s_FDISCO_20251020_105333,87.7,1.20296,82.6823,74.4926,64.0392,16.3195,55.0056,82.7145,1,4,1,0.6735
315,tooth_mouse_s_FDISCO_20251020_110158,23.1,1.54978,51.5637,47.9475,42.1406,15.3705,37.9416,51.5987,1,4,1,0.7001
316,heart_CUBIC_20251228_195932,805.9,1.04839,51.1417,40.6056,32.7994,13.937,95.3943,51.1463,0,4,4,0.5318
317,heart_CUBIC_20251228_202711,642.8,1.03905,40.6992,32.9465,27.3279,11.7869,90.2355,40.7158,0,4,4,0.5862
318,HEART_RAT_CUBIC_20251228_180140,750.4,1.04171,40.5156,32.9646,27.3165,12.6512,87.8692,40.5302,0,4,4,0.5999
319,heart_rat_CUBIC_20251228_204113,667.5,1.01663,50.765,40.3754,42.9106,13.882,91.0848,51.2084,0,4,4,0.5001
320,intestine_CUBIC_20251228_200745,428.9,1.00513,69.2868,59.4855,47.8749,16.0352,77.146,69.2936,0,4,2,0.7726
321,intestine_CUBIC_20251228_200617,502,1.02151,65.0198,55.1628,43.9706,15.6603,80.2861,65.0216,0,4,2,0.8596
322,kidney_CUBIC_20251228_174904,973.8,1.04939,45.9092,37.7278,31.3255,13.0712,80.9301,45.9122,0,4,4,0.2365
323,kidney_CUBIC_20251228_184602,633.7,1.05208,30.9385,24.8514,20.8867,11.3634,87.8119,30.9506,0,4,4,0.2993
324,kidney_CUBIC_20251228_200432,819.9,1.04293,46.4441,39.0042,32.5384,13.8392,78.8144,46.4551,0,4,4,0.3208
325,kidney_CUBIC_20251228_202213,807.9,1.06399,28.6014,22.9193,20.0412,11.2719,81.0054,28.6193,0,4,4,0.3308
326,kidney_CUBIC_20251228_205321,807,1.03779,35.8989,28.8914,24.6978,11.3423,83.922,35.9063,0,4,4,0.3904
327,kidney_CUBIC_20251228_205505,808,1.04208,39.059,31.3038,26.5387,11.4316,88.0083,39.0683,0,4,4,0.3867
328,kidney_CUBIC_20251228_205643,699.7,1.06574,32.215,26.5901,23.7611,10.5684,71.3227,32.2255,0,4,4,0.4067
329,kidney_rat_CUBIC_20251228_174058,1134.2,1,44.6795,37.3326,31.4283,13.2629,76.4656,44.6842,0,4,4,0.3854
330,kidney_CUBIC_20251228_184926,724.4,1.05632,28.3859,22.8257,19.2405,11.3652,84.6252,28.3961,0,4,4,0.3766
331,liver_CUBIC_20251228_195237,238.8,1.04564,44.5314,32.9229,25.1162,11.5633,108.007,44.5331,0,4,3,0.5285
332,liver_CUBIC_20251228_195419,857.3,1.06019,32.5813,24.9303,20.1716,11.3007,98.7921,32.5871,0,4,4,0.5057
333,liver_CUBIC_20251228_195541,209.2,1.087,54.6404,41.3629,30.9411,12.8482,111.482,54.6468,0,4,3,0.619
334,liver_CUBIC_20251228_200953,414.5,1.05308,50.1405,37.5526,27.6815,12.7581,112.849,50.1428,0,4,3,0.5074
335,LIVER_RAT_CUBIC_20251228_180333,431.1,1.02853,35.899,26.3482,19.7896,11.0496,115.673,35.9023,0,4,3,0.5695
336,LIVER_RAT_CUBIC_20251228_180524,412.9,1.07193,35.5101,25.5713,19.0932,11.0355,117.458,35.5142,0,4,3,0.5952
337,lung_CUBIC_20251228_174355,1484.2,0.781,41.1134,31.0667,26.6624,9.38444,93.4807,3.2915,0,4,3,0.3811
338,lung_CUBIC_20251228_201139,1675.2,0.93854,32.5619,23.222,19.1279,8.34053,109.341,32.5637,0,4,3,0.3643
339,lung_CUBIC_20251228_203531,1418,0.68875,33.6986,23.5743,19.1102,8.83406,117.475,33.7032,0,4,3,0.365
340,muscle_rat_CUBIC_20251228_170813,92.2,1.07484,77.0657,70.3251,60.0411,17.7267,55.1189,77.0814,0,4,1,0.6998
341,muscle_rat_CUBIC_20251228_171038,101.7,1,78.7449,68.9411,54.6074,17.831,75.3843,78.7584,0,4,2,0.6161
342,muscle_rat_CUBIC_20251228_171220,0.1,2,85.5643,75.857,57.6993,17.857,71.2551,85.5784,0,4,2,0.751
343,muscle_rat_CUBIC_20251228_171506,140.2,1.10842,81.9685,72.3751,58.0959,17.5573,75.2986,81.9808,0,4,1,0.7065
344,muscle_rat_CUBIC_20251228_171658,170.7,1.00117,83.9467,73.2721,57.7744,17.3379,83.008,83.9678,0,4,2,0.7053
345,muscle_rat_CUBIC_20251228_172438,93.9,1.06283,93.9557,83.4497,61.3153,19.8808,87.9104,93.9619,0,4,2,0.8495
346,muscle_rat_CUBIC_20251228_172630,74.8,1.0361,77.2372,66.7785,46.7954,19.2569,97.4408,77.2452,0,4,2,0.7192
347,muscle_rat_CUBIC_20251228_172817,48.7,1.20945,92.3718,79.1538,53.6556,19.3176,108.33,92.3791,0,4,1,0.6298
348,muscle_rat_CUBIC_20251228_173001,5.8,2.13793,110.166,98.6746,69.7195,20.5686,85.6119,110.181,0,4,1,0.7624
349,muscle_rat_CUBIC_20251228_173207,17.1,1,111.425,99.6121,71.923,20.3288,85.937,111.429,0,4,1,0.6185
350,muscle_rat_CUBIC_20251228_173853,129.7,1.00463,80.0531,67.5571,51.8783,16.2302,89.7507,80.0578,0,4,2,0.8061
351,spleen_CUBIC_20251228_185104,335.2,1.04296,24.5955,18.9041,16.9894,20.8116,80.3728,24.6079,0,4,3,0.7011
352,spleen_CUBIC_20251228_195803,503.8,1.06967,27.8475,22.0572,19.7529,14.4537,80.4465,27.8616,0,4,3,0.6908
353,spleen_CUBIC_20251228_202007,380.8,1.0667,23.5187,18.7208,17.0331,14.2716,75.7692,23.5511,0,4,3,0.681
354,spleen_CUBIC_20251228_202857,339.2,1.06103,24.4798,20.019,18.3327,15.8717,69.7833,24.4947,0,4,3,0.6745
355,spleen_RAT_CUBIC_20251228_175545,425.7,1.07752,25.1322,20.0261,17.8885,10.3025,79.4792,25.1459,0,4,3,0.6812
356,stomach_CUBIC_20251228_184747,1050,1.05533,59.3517,49.4682,44.4493,17.1754,62.5079,59.3547,0,4,3,0.6333
357,stomach_CUBIC_20251228_200155,1237.8,1.04645,68.4781,57.5169,50.1053,12.1268,68.2987,68.4822,0,4,3,0.6021
358,STOMACH_RAT_CUBIC_20251228_175817,1397,1.04016,64.2948,54.5376,47.5591,13.2674,66.3534,64.2974,0,4,3,0.5938
359,teeth_CUBIC_20251228_182319,15.3,1.45752,94.9847,87.6367,76.254,17.5058,48.3926,95.0289,1,4,1,0.5039
360,teeth_CUBIC_20251228_183907,26.9,1.27509,29.2229,23.2557,19.3791,11.4496,89.4869,29.2307,1,4,1,0.5128
361,teeth_FDISCO_20251228_181346,29.2,1.00342,8.29875,8.22416,7.85072,9.03923,11.9342,8.34416,1,1,1,0.5267
362,TEETH__CUBIC_20251228_180759,198.2,1.13269,65.2211,59.0078,51.3371,16.9721,50.8791,65.235,0,4,3,0.4032
363,1mm_CUBIC_20251207_175406,44.5,1,92.9542,82.9521,68.3521,17.546,64.9493,92.9617,0,4,1,0.8912
364,1mm_CUBIC_20251207_175731,52.2,1.05172,89.5065,79.8557,60.419,19.7129,80.1207,89.5083,0,4,1,0.9127
365,1mm_CUBIC_20251207_180834,31,1.72258,90.4847,81.1957,66.4168,18.026,64.9491,90.493,0,4,1,0.9047
366,1mm_CUBIC_20251207_181137,47.9,1,87.6846,79.0569,66.0156,17.5741,60.0497,87.6888,0,4,1,0.9238
367,2mm_CUBIC_20251207_181432,109,1.04404,78.0896,68.8217,54.9645,17.5785,72.7851,78.0927,0,4,1,0.8018
368,2mm_CUBIC_20251207_181805,121.4,1.01071,78.7154,69.6179,56.3297,17.4688,69.9058,78.7213,0,4,1,0.8316
369,2mm_CUBIC_20251207_182532,182.5,1.00219,75.4169,66.3724,55.0454,16.2433,66.1029,75.4202,0,4,1,0.8126
370,2mm_CUBIC_20251207_182749,145,1,82.7928,73.2421,61.2712,16.4183,63.8764,82.7955,0,4,1,0.8334
371,2mm_CUBIC_20251207_182945,124.5,1.15663,79.722,69.9022,57.7977,16.2349,66.6545,79.7246,0,4,1,0.8561
372,2MM_CUBIC_20251207_183210,124.3,1.10217,80.4391,71.0553,59.7561,16.1124,62.2067,80.4444,0,4,1,0.8714
373,2MM_CUBIC_20251207_183402,74,1.32838,83.6636,73.8557,61.7382,16.2643,64.182,83.6696,0,4,1,0.8012
374,heart_CUBIC_20251207_192137,100.9,1.13974,43.6505,33.4346,26.7539,11.6211,101.563,43.6546,0,4,2,0.7267
375,heart_CUBIC_20251207_192422,141.2,1.08074,43.5179,34.1697,28.3931,11.1592,90.9739,43.5333,0,4,2,0.7123
376,heart_CUBIC_20251207_194658,125.6,1.07006,45.8881,34.7185,27.5531,11.5094,101.052,45.9005,0,4,2,0.7428
377,intestine_CUBIC_20251207_193711,95.1,1.35016,45.8881,34.7185,27.5531,11.5094,71.2318,80.7033,0,4,1,0.8966
378,intestine_CUBIC_20251207_193916,173.7,1.2038,79.2358,69.5175,55.0029,17.3695,74.7209,79.2435,0,4,2,0.8812
379,kidney_CUBIC_20251207_191129,331.8,1.11272,62.875,50.6968,39.3853,14.0114,90.2813,62.8762,0,4,2,0.6247
380,kidney_CUBIC_20251207_191749,188.8,1.11282,48.6757,37.2484,29.2764,12.3847,103.457,48.694,0,4,2,0.6517
381,kidney_CUBIC_20251207_192306,185.1,1.13668,45.1106,33.9621,26.213,12.3349,108.038,45.1173,0,4,2,0.6219
382,kidney_CUBIC_20251207_192613,172.7,1.00984,50.3032,38.6864,31.6504,11.4652,97.1791,50.3131,0,4,2,0.6918
383,kidney_CUBIC_20251207_193246,210.3,1.1203,67.919,52.654,39.698,13.2229,106.977,67.9202,0,4,2,0.6611
384,kidney_CUBIC_20251207_195116,195,1.05897,48.7746,37.8275,29.6675,12.7151,102.836,48.7823,0,4,2,0.6518
385,kidney_CUBIC_20251207_195253,176.2,1,46.5379,33.8183,26.5864,10.8728,111.228,46.5442,0,4,2,0.6359
386,liver_CUBIC_20251207_193354,99.9,1.14314,63.2778,49.119,35.9779,13.8257,106.132,63.2804,0,4,2,0.5684
387,liver_CUBIC_20251207_194931,262.9,1.12438,55.8347,42.7183,31.4469,13.1345,113.683,55.8372,0,4,2,0.5396
388,liver_CUBIC_20251207_195434,87.5,1.224,64.4341,49.1784,34.8949,13.8444,116.872,64.4355,0,4,2,0.5619
389,liver_CUBIC_20251207_200025,252.2,1.02498,51.8914,38.3114,28.7428,11.7017,114.98,51.8932,0,4,2,0.5714
390,spleen_CUBIC_20251207_184130,62.9,1.12083,44.4376,21.981,17.1595,11.3975,143.566,44.4381,0,4,2,0.6804
391,spleen_CUBIC_20251207_184812,55.5,1.54595,53.3786,29.0343,21.7113,7.12471,145.978,53.3794,0,4,2,0.6958
392,spleen_CUBIC_20251207_185040,89.9,1,53.2751,24.3893,18.7051,6.71691,157.527,53.2753,0,4,2,0.6719
393,spleen_CUBIC_20251207_200338,62.1,1,59.1693,36.0997,27.4079,8.77306,130.658,59.1716,0,4,2,0.6518
394,spleen_CUBIC_20251207_201104,55.4,1.3231,5.15824,5.09512,4.95552,8.47148,9.78277,5.20157,0,4,2,0.7018
395,stomache_CUBIC_20251207_183711,281.3,1,70.6869,59.5481,49.3314,14.1467,76.0071,70.6902,0,4,2,0.7256
396,stomach_CUBIC_20251207_191955,265.3,1.0784,65.6859,55.7841,46.584,13.913,72.575,65.6874,0,4,2,0.7234
397,stomach_CUBIC_20251207_201323,274.3,1.02042,70.757,60.7222,49.1157,15.7752,77.3937,70.7615,0,4,2,0.7519
398,stomach_CUBIC_20251207_201507,195.4,1.15916,75.8437,67.0116,56.9225,15.6231,61.5551,75.8488,0,4,2,0.7489
399,bone_rat_FDISCO_20250601_103512,45.8,1.5216,59.7737,69.6357,49.9586,6,46.9848,59.6938,1,5,1,0.7113
400,bone_mouse_FDISCO_20250220_160622,58.8,1.639,88.2216,57.7498,50.2988,23.786,20.1968,88.0839,1,5,1,0.782
401,bone_rat_FDISCO_20250220_134918,2,1.2619,58.8512,34.867,67.3838,17.5242,15.2846,58.6734,1,1,1,0.5867
402,bone_rat_FDISCO_20250601_131029,2,1.753,47.4491,24.3327,60.7516,23.399,53.9901,47.2716,1,4,1,0.5966
403,tooth_rat_FDISCO_20250313_172556,124.3,1.5437,33.5408,47.4226,67.2463,6.0069,42.503,33.5833,1,5,1,0.7014
404,tooth_rat_FDISCO_20250220_105507,89.2,1.6657,70.5764,56.2949,32.0989,18.8214,26.1371,70.2868,1,1,1,0.6855
405,tooth_mouse_FDISCO_20250220_142710,66.7,1.2869,80.0677,63.8588,71.6311,18.7308,71.2965,79.924,1,4,1,0.8923
406,bone_rat_FDISCO_20250413_123449,58.8,2.118,50.3106,55.2177,70.7878,27.613,71.847,50.4561,1,4,1,0.6718
407,bone_mouse_FDISCO_20250601_120842,5.9,1.3811,76.4919,68.0502,80.8884,17.4971,42.7375,76.7752,1,4,1,0.6961
408,tooth_mouse_FDISCO_20250601_170715,44.7,1.5163,102.4053,46.0016,57.1263,6,36.0681,102.5391,1,1,1,0.8154
409,tooth_rat_FDISCO_20250503_133408,18,1.8873,63.7579,69.5968,72.3852,24.4835,46.2977,64.4442,1,5,1,0.7574
410,bone_rat_FDISCO_20250220_164621,38.2,1.5839,84.6144,50.3152,55.9267,14.4441,30.2025,83.898,1,5,1,0.8388
411,bone_rat_FDISCO_20250220_131026,53.3,1.7519,42.1443,62.979,49.8359,25.7142,56.3807,42.0386,1,4,1,0.8144
412,tooth_mouse_FDISCO_20250313_131813,4.6,1.634,81.7266,73.3908,57.6245,26.0355,40.9145,81.8223,1,1,1,0.6253
413,tooth_rat_FDISCO_20250220_133738,52.8,1.4739,41.5857,46.2621,57.6334,14.7917,47.9448,41.565,1,1,1,0.7858
414,tooth_mouse_FDISCO_20250413_110029,256.4,1.276,76.7209,37.5649,53.6672,26.599,57.6981,76.7483,2,1,2,0.8751
415,tooth_rat_FDISCO_20250220_121607,101,1.5221,76.4853,70.5366,63.7962,25.5082,41.8925,76.8861,2,1,2,0.7205
416,bone_rat_FDISCO_20250503_140200,161.2,1.5466,85.1911,61.5,50.3916,18.8354,38.7367,84.2686,2,1,2,0.8033
417,bone_mouse_FDISCO_20250503_120219,143,1.4344,68.1629,49.0876,55.7474,23.4895,60.6021,68.4845,2,1,2,0.8779
418,bone_rat_FDISCO_20250313_125626,129.7,1.7548,64.1111,63.0151,61.6576,26.1243,25.6476,63.7398,2,1,2,0.8557
419,bone_mouse_FDISCO_20250313_172219,171.1,1.3493,88.5952,54.6598,68.986,11.9939,42.3308,89.3704,2,1,2,0.9241
420,bone_mouse_FDISCO_20250220_141137,258.8,1.7814,70.1646,52.6186,74.6202,29.3329,42.496,69.9412,2,1,2,0.7233
421,bone_rat_FDISCO_20250413_160442,229.9,1.7883,67.6007,53.5425,47.5988,17.0741,35.1396,67.8933,2,1,2,0.786
422,tooth_rat_FDISCO_20250503_123936,278.1,1.5252,63.703,73.5881,50.0109,19.4544,37.0684,63.5711,2,1,2,0.6878
423,bone_rat_FDISCO_20250413_184240,174.2,1.5976,66.0758,74.349,44.2199,17.3805,34.5103,66.1537,2,1,2,0.8118
424,tooth_rat_FDISCO_20250503_134544,247.7,1.7946,50.8071,59.3412,50.6895,23.559,45.9001,50.8165,2,4,1,0.8865
425,bone_mouse_FDISCO_20250601_135854,146.3,1.6933,59.3161,41.5225,70.314,10.1972,45.1235,59.1109,2,1,1,0.8337
426,tooth_mouse_FDISCO_20250313_172816,81.4,1.8094,78.9692,49.1941,54.5132,17.492,57.7703,78.2906,2,1,2,0.8451
427,tooth_rat_FDISCO_20250313_130426,183.8,1.2618,62.276,56.6994,64.2504,26.0703,42.9255,62.5468,2,4,2,0.7451
428,tooth_mouse_FDISCO_20250220_151948,167.1,1.32,65.7086,66.0766,67.0584,31.7583,37.2893,65.4913,2,4,2,0.6322
429,tooth_rat_FDISCO_20250313_180158,80,1.4915,76.9,40.6495,49.0376,23.472,35.1048,76.9344,2,4,2,0.7158
430,tooth_mouse_FDISCO_20250503_145305,80,1.856,75.3904,67.6677,52.2983,22.5457,51.9986,75.0621,2,4,2,0.8117
431,bone_rat_FDISCO_20250313_174207,175.9,1.5084,77.1638,60.6679,79.8145,31.3958,46.1878,77.188,2,1,1,0.7928
432,bone_rat_FDISCO_20250413_162545,273.8,1.5308,48.9229,72.1026,71.0767,24.9421,31.0681,49.1898,3,1,1,0.6224
433,tooth_mouse_FDISCO_20250220_184121,50,1.3914,70.9025,82.5302,52.6808,37.9545,42.0976,70.3083,3,1,2,0.7888
434,tooth_mouse_FDISCO_20250503_165246,131.8,1.7381,64.4833,80.5358,54.188,31.696,22.2024,64.0013,3,5,1,0.8613
